Vehicle Name,Trip Started At,Trip Ended At,Trip Distance Miles,Average MPG,Fuel Cost USD,Hard Brake Count,Hard Accel Count,Duration Over 70 MPH,Duration Over 75 MPH,Duration Over 80 MPH,Trip Path Image Map URL,Start Location Lon,Start Location Lat,Start Location Map URL,End Location Lon,End Location Lat,End Location Map URL
Volkswagen Jetta,"March 06, 2014 at 11:47AM","March 06, 2014 at 12:00PM",6.4,22.79,$1.04,0,1,0,0,0,http://wmsy.me/1fLiMiL,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.238367,40.805497,http://wmsy.me/1fLiOqN
Volkswagen Jetta,"March 06, 2014 at 12:17PM","March 06, 2014 at 12:27PM",6.51,26.25,$0.95,0,0,7,0,0,http://wmsy.me/1ih2K84,-73.2383447886195,40.8070780802898,http://wmsy.me/1jWWFv3,-73.264857,40.766932,http://wmsy.me/1ih2K8c
Volkswagen Jetta,"March 06, 2014 at 05:51PM","March 06, 2014 at 05:56PM",0.51,9.59,$0.2,0,0,0,0,0,http://wmsy.me/1hQZY6O,-73.264857,40.766932,http://wmsy.me/1ih2K8c,-73.2786391,40.7721528,http://wmsy.me/1gW66rP
Volkswagen Jetta,"March 06, 2014 at 05:58PM","March 06, 2014 at 07:02PM",42.02,28.64,$5.48,0,1,6,0,0,http://wmsy.me/1hQZYnp,-73.2786391,40.7721528,http://wmsy.me/1gW66rP,-73.923408,40.762594,http://wmsy.me/1gW682X
Volkswagen Jetta,"March 07, 2014 at 08:27AM","March 07, 2014 at 09:20AM",43,28.98,$5.46,0,2,17,0,0,http://wmsy.me/1lF8rNB,-73.923408,40.762594,http://wmsy.me/1gW682X,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"March 07, 2014 at 12:15PM","March 07, 2014 at 12:28PM",3.81,17.84,$0.78,0,0,0,0,0,http://wmsy.me/1nnXQoI,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"March 07, 2014 at 05:47PM","March 07, 2014 at 06:57PM",47.13,28.13,$6.27,0,7,0,0,0,http://wmsy.me/NHGOFm,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.923408,40.762594,http://wmsy.me/1gW682X
Volkswagen Jetta,"March 08, 2014 at 06:59PM","March 08, 2014 at 07:04PM",0.5,6.51,$0.29,0,0,0,0,0,http://wmsy.me/1cF6jCR,-73.923408,40.762594,http://wmsy.me/1gW682X,-73.9196437,40.7581755,http://wmsy.me/1fV38S1
Volkswagen Jetta,"March 08, 2014 at 07:06PM","March 08, 2014 at 07:31PM",9.03,20.77,$1.64,0,0,0,0,0,http://ift.tt/1fV7NDo,-73.9197221,40.7580779,http://wmsy.me/1cF9z0U,-73.937244,40.8564989,http://wmsy.me/1fV7Pv5
Volkswagen Jetta,"March 08, 2014 at 07:40PM","March 08, 2014 at 08:11PM",8.71,20.28,$1.61,0,0,0,0,0,http://wmsy.me/NLF4uK,-73.937244,40.8564989,http://wmsy.me/1fV7Pv5,-73.923408,40.762594,http://wmsy.me/1gW682X
Volkswagen Jetta,"March 13, 2014 at 09:22AM","March 13, 2014 at 10:14AM",43.17,29.42,$5.56,0,0,73,0,0,http://wmsy.me/1ftvweb,-73.923408,40.762594,http://wmsy.me/1gW682X,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"March 13, 2014 at 01:36PM","March 13, 2014 at 01:39PM",0.42,7.86,$0.2,0,0,0,0,0,http://wmsy.me/O7tF8Q,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.26044,40.767229,http://wmsy.me/1oQrz8F
Volkswagen Jetta,"March 13, 2014 at 01:45PM","March 13, 2014 at 01:48PM",0.93,17.54,$0.2,0,0,0,0,0,http://wmsy.me/1fu4gMr,-73.26044,40.767229,http://wmsy.me/1oQrz8F,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"March 13, 2014 at 06:17PM","March 13, 2014 at 07:11PM",47.4,27.47,$6.54,0,2,222,1,0,http://ift.tt/1nWU99D,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.923408,40.762594,http://wmsy.me/1gW682X
Volkswagen Jetta,"March 14, 2014 at 08:12AM","March 14, 2014 at 09:16AM",43.11,27.31,$5.97,0,2,202,1,0,http://wmsy.me/1oTsViL,-73.923408,40.762594,http://wmsy.me/1gW682X,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"March 14, 2014 at 12:41PM","March 14, 2014 at 12:56PM",3.85,17.29,$0.85,0,0,0,0,0,http://wmsy.me/1eAATbP,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI
Volkswagen Jetta,"March 14, 2014 at 05:18PM","March 14, 2014 at 06:40PM",41.82,24.76,$6.39,0,1,106,2,0,http://wmsy.me/OdKVJK,-73.2656957,40.7668752,http://wmsy.me/1ifLEaI,-73.923408,40.762594,http://wmsy.me/1gW682X
Volkswagen Jetta,"March 16, 2014 at 03:40PM","March 16, 2014 at 03:48PM",0.86,7.56,$0.44,0,0,0,0,0,http://wmsy.me/1eHXPGf,-73.923408,40.762594,http://wmsy.me/1gW682X,-73.914584,40.763485,http://wmsy.me/OlrhLO
Volkswagen Jetta,"March 16, 2014 at 03:52PM","March 16, 2014 at 04:33PM",19.81,24.02,$3.15,0,1,0,0,0,http://wmsy.me/1odFB5A,-73.914584,40.763485,http://wmsy.me/OlrhLO,-73.7939949,40.7796703,http://wmsy.me/1iSrBPV
Volkswagen Jetta,"March 16, 2014 at 06:37PM","March 16, 2014 at 07:33PM",18.27,22.03,$3.17,1,0,0,0,0,http://wmsy.me/1eIxtUr,-73.7939949,40.7796703,http://wmsy.me/1iSrBPV,-73.923408,40.762594,http://wmsy.me/1gW682X
