,Unnamed: 0,Start.Time,commute,Gate List
238,239,2015-03-11 09:03:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
239,240,2015-03-11 17:10:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
240,241,2015-03-12 18:40:00,PM,"GCP2,CIP1,NSP3,LIE2,BQE2,LIE1"
241,242,2015-03-13 08:49:00,AM,"CIP1,LIE2,LIE1,LIE7,LIE4"
242,243,2015-03-13 14:50:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
243,244,2015-03-16 10:12:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
244,245,2015-03-17 09:16:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
245,246,2015-03-18 08:45:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
246,247,2015-03-18 19:43:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
247,248,2015-03-19 08:42:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
248,249,2015-03-19 18:50:00,PM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
249,250,2015-03-23 09:06:00,AM,"GCP2,GCP1,LIE2,BQE2,LIE1,LIE6,LIE4,LIE5"
250,251,2015-03-23 18:19:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
251,252,2015-03-25 08:51:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
252,253,2015-03-25 18:14:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
253,254,2015-03-26 08:34:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
254,255,2015-03-26 18:03:00,PM,"GCP2,GCP1,NSP1,LIE2,BQE2,LIE6,LIE4,LIE5"
255,256,2015-03-27 08:44:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
256,257,2015-03-27 17:06:00,PM,"GCP2,NSP1,CIP1,LIE2,BQE2,LIE4"
257,258,2015-03-30 09:11:00,AM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
258,259,2015-03-30 18:11:00,PM,"GCP2,CIP1,LIE2,BQE2,LIE1,LIE4"
